0.002210733	-0.004765748	-0.005718898	1	2	3
0.004822017	-0.01163705	-0.01396446	2	4	6
0.8187776	-1.990357	-2.388429	3	6	9
1.629199	-3.637415	-4.364898	4	8	12
2.438242	-4.694477	-5.633373	5	10	15
3.25018	-4.992395	-5.990874	6	12	18
4.064176	-4.435229	-5.322274	7	14	21
4.067037	-4.430836	-5.317003	8	16	24
4.069299	-4.427349	-5.312818	9	18	27
4.072143	-4.422944	-5.307533	10	20	30
4.074106	-4.419893	-5.303872	11	22	33
4.235738	-4.270479	-5.124575	1	2	3
5.043213	-2.905016	-3.486019	2	4	6
5.855175	-1.061833	-1.274199	3	6	9
6.668596	0.9576027	1.149123	4	8	12
7.479597	2.815486	3.378583	5	10	15
8.288185	4.506825	5.40819	6	12	18
8.290247	4.510918	5.413101	7	14	21
8.292479	4.515345	5.418414	8	16	24
8.294375	4.519107	5.422928	9	18	27
8.327967	4.266633	5.11996	1	2	3
9.130327	4.946562	5.935875	2	4	6
9.94429	4.831524	5.797829	3	6	9
10.75528	3.9336	4.72032	4	8	12
11.56529	2.399761	2.879713	5	10	15
12.3753	0.3952176	0.4742611	6	12	18
12.37749	0.3895976	0.4675171	7	14	21
12.37921	0.3851954	0.4622344	8	16	24
12.38121	0.3800864	0.4561037	9	18	27
12.4013	0.4129992	0.495599	1	2	3
12.40328	0.4077759	0.4893311	2	4	6
13.21971	-1.604611	-1.925533	3	6	9
14.02834	-3.33817	-4.005804	4	8	12
14.84279	-4.539853	-5.447824	5	10	15
15.65435	-4.998116	-5.99774	6	12	18
16.46337	-4.396694	-5.276033	7	14	21
16.46554	-4.392788	-5.271345	8	16	24
16.4673	-4.389598	-5.267518	9	18	27
16.46934	-4.385891	-5.263069	10	20	30
16.48672	-4.62611	-5.551332	1	2	3
17.28872	-3.517708	-4.221249	2	4	6
18.10442	-1.820008	-2.18401	3	6	9
18.91343	0.1597048	0.1916458	4	8	12
19.7224	2.113165	2.535798	5	10	15
20.53443	4.04717	4.856604	6	12	18
20.53642	4.051868	4.862241	7	14	21
20.53854	4.056891	4.868269	8	16	24
20.5406	4.061757	4.874109	9	18	27
20.54249	4.066221	4.879466	10	20	30
